page	claim_id	heading	label	status	warrant	reference	context
Enceladus.html	Enceladus#5	Gronwall Basin Condition and Chemical Survival Record	machine-checked	-	kernel	PrincipiaVol1.lean	ng}}\)), ether compounds do not (\(\tau_{\mathrm{ether}} \lesssim \tau_{\mathrm{ring}}\)). This asymmetry maps precisely onto the Gronwall basin boundary: the Gronwall radius \(\va
Enceladus.html	Enceladus#6	Gronwall Basin Condition and Chemical Survival Record	proved	proved	-	-	trajectories of the dm³ toy model in the Gronwall basin, \(z(t)\) is monotonically non-decreasing for all \(t > 0\). This is partially open (O3 / AXLE #15): the Gronwall contractio
Enceladus.html	Enceladus#7	Gronwall Basin Condition and Chemical Survival Record	empirical	-	measured	-	sition of E-ring grains as a function of E-ring dwell time \(\tau_{\mathrm{dwell}}\), then the function \(z(\tau_{\mathrm{dwell}}) \sim -\log([\mathrm{ether}](\tau)/[\mathrm{ether}
Enceladus.html	Enceladus#8	Entropy Operator and Theorem T1	proved	proved	-	-	sis.ODE.Gronwall as stated in OPEN_QUESTIONS.md (AXLE #15). The value of the physical correspondence is to motivate the formalism and to provide a domain-specific interpretation of
Enceladus.html	Enceladus#9	Entropy Operator and Theorem T1	empirical	-	measured	-	oved. Section 7 Falsifiability Conditions Principia Orthogona §4 defines four falsifiability conditions (F1–F4). We assess each against the Enceladus system: F1 · Compression — PAS
Enceladus.html	Enceladus#10	Entropy Operator and Theorem T1	empirical	-	measured	-	ith curvature reaching \(\kappa^*\) prior to ejection. F2 is passed conditionally: a quantitative measurement of pre-fracture shell curvature would tighten this. F3 · Folding — PAS
Enceladus.html	Enceladus#11	Complete Operator Correspondence Table	conjecture	conjecture	-	-	{z} > 0\)). Observational bound proposed (Proposition 6.1). T1: OPEN (O3) exponent sign ✓ full ODE: open AXLE #15 dm³ Contact 3-manifold; \(N = 3\) minimum dimension for non-trivia
Enceladus.html	Enceladus#12	Complete Operator Correspondence Table	conjecture	conjecture	-	-	rm{Enc}} = (P, T, \mathbf{x})\) is 5-dimensional but the active generative transition is confined to the contact 3-manifold \((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\)
Enceladus.html	Enceladus#13	Complete Operator Correspondence Table	conjecture	conjecture	-	-	tact 3-manifold \((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\) minimum confirmed. Conjecture 16.1 ARGUED / O6 open 𝒫 Perelman functor \(\mathcal{P} : \mathbf{dm}^3 \to \m
Enceladus.html	Enceladus#14	Complete Operator Correspondence Table	speculative	conjecture	none	-	((P, w, v_{\perp})\) at the fissure geometry. \(N = 3\) minimum confirmed. Conjecture 16.1 ARGUED / O6 open 𝒫 Perelman functor \(\mathcal{P} : \mathbf{dm}^3 \to \mathbf{RicciFlow}\
Enceladus.html	Enceladus#15	Complete Operator Correspondence Table	conjecture	conjecture	-	-	rvature evolution under tidal heating is formally analogous to Ricci flow on the 2-dimensional shell surface, with surgery at the fissure points. Not developed here; noted as a dir
Enceladus.html	Enceladus#16	Complete Operator Correspondence Table	conjecture	conjecture	-	-	d from Principia Orthogona V3 ○ O1: Eigenvalue API gap ( separation_theorem ) — AXLE #12 ○ O3: Full ODE Gronwall for T1 — AXLE #15 (physical argument in §6 above) ○ O5: Perelman fu
Enceladus.html	Enceladus#17	Complete Operator Correspondence Table	conjecture	conjecture	-	-	p ( separation_theorem ) — AXLE #12 ○ O3: Full ODE Gronwall for T1 — AXLE #15 (physical argument in §6 above) ○ O5: Perelman functor construction (Conjecture 15.1) ○ O6: Discrete t
Enceladus.html	Enceladus#18	Kalpataru: Life as Generated, Not Originated	empirical	-	measured	-	contact threshold — as surely as water freezes when temperature crosses 273 K, regardless of the history of the particular water molecule. Kaçar's molecular paleobiology programme 
Enceladus.html	Enceladus#19	Kalpataru: Life as Generated, Not Originated	empirical	-	measured	-	runs. Whether we choose to call its output "life" is a definitional question; whether the operator sequence that generates life on Earth is operating in the Enceladus subsurface is
Enceladus.html	Enceladus#20	References	measured	-	measured	-	r et al., "A salt-water reservoir as the source of a compositionally stratified plume on Enceladus," Nature 474 , 620–622 (2011). [10] P. C. Thomas, R. Tajeddine, M. S. Tiscareno e
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#1	§I.1 — What you are looking at · O que você está vendo	hypothesis	conjecture	-	-	rring to. Open claude.ai . Upload this HTML file (or its PDF printout) into a new conversation as an attachment. Start with: Read Volume V carefully. Confirm you understand Axioms 
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#2	§0.7 — Equality, inequality, approximation · Igualdade, desigualdade, 	proved	proved	-	-	P" "não P" P ∧ Q "P and Q" "P e Q" In logic. In forms, ∧ is "wedge." P ∨ Q "P or Q" "P ou Q" := "is defined as" · "is defined to be" "é definido como" · "define-se como" Distinguis
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#3	Lean 4	hypothesis	conjecture	-	-	entidade é admissível. Produza um contraexemplo ou uma prova. Desafio ★★★. Generalize o Teorema 4.1 para N fases e discuta quando a bijeção é forçada a ser cíclica. Level V · Ortho
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#4	A Desigualdade de Contração de Pitágoras	hypothesis	conjecture	-	-	f-engine. Nível V · Ortogonalidade Hipótese Estrutural e o Teorema da Ortogonalidade Onde o invariante I₁ vira máquina de provas. span{v} v = Δ(x) Aᵢv Δ_⊥(Oᵢ(x)) Aⱼv Δ_⊥(Oⱼ(x)) 90°
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#5	A Desigualdade de Contração de Pitágoras	hypothesis	conjecture	-	-	_⊥(Oᵢ), Δ_⊥(Oⱼ)⟩ = 0 for i ≠ j, a.e. x SH2: Aᵢv ∉ span{v} a.e. x ⇒ Lemma 5.1 Fig V — The perpendicular residuals Δ_⊥(Oᵢ) and Δ_⊥(Oⱼ) are the only parts of Aᵢv, Aⱼv that escape span
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#6	A Desigualdade de Contração de Pitágoras	hypothesis	conjecture	-	-	pam de span{v}. A Hipótese Estrutural SH1 diz que são ortogonais entre si. Objectives State SH1, SH2 precisely. Expand ⟨Δ_⊥(Oᵢ), Δ_⊥(Oⱼ)⟩ and identify the cancellation pattern. Mat
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#7	Tempo, Identidade, Emergência — Fenomenologia como Estrutura	hypothesis	conjecture	-	-	r = x_star := by have hK : IsCompact K := orbit_closure_compact have hE : Contraction κ E := contraction_bound exact Banach .fixed_point hK hE Exercises 7.1 ★ State the Banach theo
GTCT_V_Student_Edition.html	GTCT_V_Student_Edition#8	Tempo, Identidade, Emergência — Fenomenologia como Estrutura	hypothesis	conjecture	-	-	need and explain why the Banach route is cleaner. Prompt for the LLM GTCT·L7 Using Volume V §6.2, rewrite the proof of Theorem 6.1 as a single paragraph suitable for a graduate ora
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#1	Key Facts	conjecture	conjecture	-	-	incipia Orthogona Series Zenodo: 10.5281/zenodo.19117399 · github.com/TOTOGT/AXLE C → K → F → U → ∞ Key Facts · Cosmic Ocean · Operator Orbit · Network Game · Value Gap · Cross-Dom
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#2	The Painting and the Proof	proved	proved	-	Main_v6.lean	cts · Cosmic Ocean · Operator Orbit · Network Game · Value Gap · Cross-Domain · Lean Proofs · Conjecture · Open Problems · Sorry Audit · References AXLE Proof Status · June 2026 Ke
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#3	The Painting and the Proof	proved	proved	-	-	it G^n ε₀ = 1/3 radius Fixed point p* Four Operators — Definitions Op Name Action Cosmic analog Status C Compress Projects onto irreducible kernel; bi-Lipschitz δ &gt; 0 Ananta She
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#4	The Painting and the Proof	proved	proved	-	-	tus C Compress Projects onto irreducible kernel; bi-Lipschitz δ &gt; 0 Ananta Shesha — the substrate Proved K Constrain Drives |κ| → κ* via gain α(s); never folds alone Vishnu — th
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#5	The Painting and the Proof	proved	proved	-	-	the substrate Proved K Constrain Drives |κ| → κ* via gain α(s); never folds alone Vishnu — the positional player Proved F Fold Whitney A₁ at |κ| = κ*; Jacobian rank loss 1 Shiva — 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#6	The Painting and the Proof	proved	proved	-	-	onal player Proved F Fold Whitney A₁ at |κ| = κ*; Jacobian rank loss 1 Shiva — the transformation Proved U Unfold Gradient descent on Φ; new stable topology exponentially Brahma — 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#7	The Painting and the Proof	proved	proved	-	AXLE/Main_v6.lean	3 &lt; 1 Proof: theorem noiseTolerance : canonicalTriple.tau * stabilityRadius = 2/3 := by simp [...]; ring theorem gtct_return_stable_within_radius : ... * stabilityRadius &lt; 1 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#8	The Painting and the Proof	empirical	-	measured	-	capacity EIA STEO 2024 δ 0.985 Monthly discount factor 18% annual γ 0.55 Private signal strength Pirrong (2012) σ_L / σ_H 0.15 / 0.45 Volatility states EIA monthly P_HH 0.75 High-v
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#9	The Painting and the Proof	empirical	-	measured	-	istorical Permian–Cushing volatility (0.35–0.42) exceeds σ* in ~68% of months 2015–2024. Numerical Results · MPE Value Iteration The Value Gap ΔV(σ) The sign reversal of ΔV = E[V_J
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#10	The Painting and the Proof	conjecture	conjecture	-	-	*] E[V_V*] ΔV J dominates? Low vol (σ_L = 0.15) 0.42 0.61 −0.19 No High vol (σ_H = 0.45) 3.87 2.14 +1.73 Yes Threshold σ* (interpolated) ≈ 0.33 ∈ [0.30, 0.36] ≈ 1/3 Paper 2 · Gross
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#11	The Painting and the Proof	machine-checked	-	kernel	-	≈ 1/3 Paper 2 · Grossi (2026b) · The 1/3 Conjecture Cross-Domain Threshold: The 1/3 Invariant The same threshold σ* ≈ 1/3 recurs across several otherwise unrelated systems. Two of 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#12	The Painting and the Proof	proved	proved	-	-	in that row before reading it as a fifth independent confirmation. Domain System Threshold Interpretation Status Network game MPE on A–C–B σ* ∈ [0.30, 0.36] Positional node control
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#13	The Painting and the Proof	empirical	-	measured	-	dian trader g₃₃ = 33 cycles g₃₃ ≈ 1/3 attractor Nirvana compounding fixed point — no derivation, dataset, or citation found in this file (WP-28) Unsourced WTI historical vol Permia
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#14	The Painting and the Proof	proved	proved	-	AXLE/Main_v6.lean	e (WP-28) Unsourced WTI historical vol Permian–Cushing 0.35–0.42 Empirically above σ* in 68% of months EIA 2015–2024 AXLE · Lean 4 · Mathlib4 · 0 Extra Axioms Lean 4 Formal Proofs 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#15	The Painting and the Proof	proved	proved	-	AXLE/Main_v6.lean	EIA 2015–2024 AXLE · Lean 4 · Mathlib4 · 0 Extra Axioms Lean 4 Formal Proofs Four theorems fully proved in AXLE. No sorry. No axioms beyond Mathlib4 standard. AXLE/Main_v6.lean — C
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#16	The Painting and the Proof	proved	proved	-	-	K ∘ C def GenerativeOp (M : GenerativeManifold) (C : CompressionOp M) (K : CurvatureOp M) (F : FoldOp M) (U : UnfoldOp M) : M.carrier → M.carrier := U.map ∘ F.map ∘ K.map ∘ C.map -
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#17	The Painting and the Proof	proved	proved	-	-	carrier → M.carrier := U.map ∘ F.map ∘ K.map ∘ C.map -- Stability radius: proved ε₀ = 1/3 def stabilityRadius : ℝ := 1 / 3 theorem stabilityRadius_eq : stabilityRadius = 1 / 3 := r
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#18	The Painting and the Proof	proved	proved	-	AXLE/MahloClosure.lean	IsCompact (Set.Icc (1/3 : ℝ) (2 : ℝ)) := by exact isCompact_Icc -- Whitney A₁ fold at critical curvature κ* -- V(q) = q³ − 3q, Morse condition ∂V/∂q = 0 at q = 1 -- Contact form no
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#19	The Painting and the Proof	proved	proved	-	AXLE/MahloClosure.lean	:= by exact isCompact_Icc -- Whitney A₁ fold at critical curvature κ* -- V(q) = q³ − 3q, Morse condition ∂V/∂q = 0 at q = 1 -- Contact form non-degeneracy: fully proved -- Whitney 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#20	The Painting and the Proof	open	open	-	ContactHomology.lean	y remains. It is labeled honestly. theorem g6_unconditional_closure (v : Crystal.PhaseVector) : ∃ m ≤ 33, isCrystalSaturated (applyG^[m] v) ∧ isEigenmodeLocked (applyG^[m] v) := by
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#21	The Painting and the Proof	open	open	-	ContactHomology.lean	m] v) := by sorry -- ISSUE #6 (OPEN) — last sorry in the Collatz–dm³ bridge -- Blocked by: Mathlib 4.28 missing ContactHomology.lean -- Closes: Issues #20, #13 partial, Collatz–dm³
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#22	The Painting and the Proof	conjecture	conjecture	-	ContactHomology.lean	SSUE #6 (OPEN) — last sorry in the Collatz–dm³ bridge -- Blocked by: Mathlib 4.28 missing ContactHomology.lean -- Closes: Issues #20, #13 partial, Collatz–dm³ bridge The Central Op
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#23	The Painting and the Proof	conjecture	conjecture	-	ContactHomology.lean	EN) — last sorry in the Collatz–dm³ bridge -- Blocked by: Mathlib 4.28 missing ContactHomology.lean -- Closes: Issues #20, #13 partial, Collatz–dm³ bridge The Central Open Question
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#24	The Painting and the Proof	conjecture	conjecture	-	-	xpressed as an iterated operator orbit G, there exists a unique volatility/noise threshold σ* ≈ 1/3 above which positional control of a critical node is the unique payoff-dominant 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#25	The Painting and the Proof	hypothesis	conjecture	-	-	eral proof would require a unified fixed-point theorem bridging stochastic games and contact geometry — specifically, closing the Gronwall contraction below ε₀ (AXLE Issue #13) wit
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#26	The Painting and the Proof	hypothesis	conjecture	-	-	Open Most open component (iii) Bridge: game-theoretic value gap ↔ contact-geometric fold Open Issue #6 (hyper-Mahlo) The Ceiling Theorem Higher Mahlo ranks force failures of the Ge
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#27	The Painting and the Proof	conjecture	conjecture	-	-	ng is a theorem. The Monster Law finds it from the operator side. Kanamori finds it from the cardinal side. They meet at the same ceiling. Future Work Five Open Problems O1 — Graph
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#28	The Operator Orbit G = U∘F∘K∘C	empirical	-	measured	-	Currently computed numerically via value iteration. O3 — Multi-Player Extend to multi-player mean-field games and dynamic node acquisition. Two-player fixed-capacity model is the s
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#29	Four Operators — Definitions	hypothesis	conjecture	-	-	emiconductor supply chains, prediction markets, dark pools. Financial microstructure maps directly onto 3-node structure. O5 — Issue #6 Close AXLE Issue #6: hyper-Mahlo fixed point
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#30	Parameters (Table 1)	proved	proved	-	Main_v6.lean	dit — 9 Open Issues These are honest admits, not placeholder conveniences. Each is labeled with the blocking reason. Issue #6 is the critical path : closing it closes four other pr
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#31	Parameters (Table 1)	hypothesis	conjecture	-	Main_v6.lean	path : closing it closes four other problems in sequence. PROVED · stabilityRadius = 1/3 Exact by rfl. No sorry ever. Main_v6.lean Issue #6 · CRITICAL PATH Hyper-Mahlo fixed point 
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#32	Lean 4 Formal Proofs	open	open	-	Events.lean	Events.lean Blocks: Collatz fingerprint formalization Issue #16 Regeneration loop invariant after g₆ cycles (full transfinite). regeneration_loop_invariant.lean Partial proof exist
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#33	Lean 4 Formal Proofs	open	open	-	Main_v6.lean	Floquet multiplier analysis for spiral return. Main_v6.lean Spectral theory gap in Mathlib4 Issue #18 IPR_trib &gt; IPR_fib formal bound. SwarmSimulator.lean Numerical evidence exi
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#34	References	conjecture	conjecture	-	-	ss-domain status table is corrected — two rows are rfl on a definition and one holds for any closed interval, so the clustering is withdrawn as evidence and the summary table above
GameTheory_Full_Pack.FIXED.html	GameTheory_Full_Pack.FIXED#35	References	open	open	-	Main_v6.lean	old on paper. Edwin Binney 3rd Collection, San Diego Museum of Art, 1990.136. Public domain. AXLE Repository. github.com/TOTOGT/AXLE ↗ Main_v6.lean, AutophagyDm3_v2.lean, MahloClos
GameTheory_Full_Pack.html	GameTheory_Full_Pack#1	Key Facts	conjecture	conjecture	-	-	/zenodo.21753025 · all versions: 10.5281/zenodo.21013065 · github.com/TOTOGT/AXLE C → K → F → U → ∞ Key Facts · Cosmic Ocean · Operator Orbit · Network Game · Value Gap · Cross-Dom
GameTheory_Full_Pack.html	GameTheory_Full_Pack#2	The Painting and the Proof	proved	proved	-	Main_v6.lean	cts · Cosmic Ocean · Operator Orbit · Network Game · Value Gap · Cross-Domain · Lean Proofs · Conjecture · Open Problems · Sorry Audit · References AXLE Proof Status · June 2026 Ke
GameTheory_Full_Pack.html	GameTheory_Full_Pack#3	The Painting and the Proof	proved	proved	-	-	it G^n ε₀ = 1/3 radius Fixed point p* Four Operators — Definitions Op Name Action Cosmic analog Status C Compress Projects onto irreducible kernel; bi-Lipschitz δ &gt; 0 Ananta She
GameTheory_Full_Pack.html	GameTheory_Full_Pack#4	The Painting and the Proof	proved	proved	-	-	tus C Compress Projects onto irreducible kernel; bi-Lipschitz δ &gt; 0 Ananta Shesha — the substrate Proved K Constrain Drives |κ| → κ* via gain α(s); never folds alone Vishnu — th
GameTheory_Full_Pack.html	GameTheory_Full_Pack#5	The Painting and the Proof	proved	proved	-	-	the substrate Proved K Constrain Drives |κ| → κ* via gain α(s); never folds alone Vishnu — the positional player Proved F Fold Whitney A₁ at |κ| = κ*; Jacobian rank loss 1 Shiva — 
GameTheory_Full_Pack.html	GameTheory_Full_Pack#6	The Painting and the Proof	proved	proved	-	-	onal player Proved F Fold Whitney A₁ at |κ| = κ*; Jacobian rank loss 1 Shiva — the transformation Proved U Unfold Gradient descent on Φ; new stable topology exponentially Brahma — 
GameTheory_Full_Pack.html	GameTheory_Full_Pack#7	The Painting and the Proof	proved	proved	-	AXLE/Main_v6.lean	3 &lt; 1 Proof: theorem noiseTolerance : canonicalTriple.tau * stabilityRadius = 2/3 := by simp [...]; ring theorem gtct_return_stable_within_radius : ... * stabilityRadius &lt; 1 
GameTheory_Full_Pack.html	GameTheory_Full_Pack#8	The Painting and the Proof	empirical	-	measured	-	capacity EIA STEO 2024 δ 0.985 Monthly discount factor 18% annual γ 0.55 Private signal strength Pirrong (2012) σ_L / σ_H 0.15 / 0.45 Volatility states EIA monthly P_HH 0.75 High-v
GameTheory_Full_Pack.html	GameTheory_Full_Pack#9	The Painting and the Proof	empirical	-	measured	-	istorical Permian–Cushing volatility (0.35–0.42) exceeds σ* in ~68% of months 2015–2024. Numerical Results · MPE Value Iteration The Value Gap ΔV(σ) The sign reversal of ΔV = E[V_J
GameTheory_Full_Pack.html	GameTheory_Full_Pack#10	The Painting and the Proof	conjecture	conjecture	-	-	*] E[V_V*] ΔV J dominates? Low vol (σ_L = 0.15) 0.42 0.61 −0.19 No High vol (σ_H = 0.45) 3.87 2.14 +1.73 Yes Threshold σ* (interpolated) ≈ 0.33 ∈ [0.30, 0.36] ≈ 1/3 Paper 2 · Gross
GameTheory_Full_Pack.html	GameTheory_Full_Pack#11	The Painting and the Proof	machine-checked	-	kernel	-	≈ 1/3 Paper 2 · Grossi (2026b) · The 1/3 Conjecture Cross-Domain Threshold: The 1/3 Invariant The same threshold σ* ≈ 1/3 recurs across several otherwise unrelated systems. Two of 
GameTheory_Full_Pack.html	GameTheory_Full_Pack#12	The Painting and the Proof	proved	proved	-	-	in that row before reading it as a fifth independent confirmation. Domain System Threshold Interpretation Status Network game MPE on A–C–B σ* ∈ [0.30, 0.36] Positional node control
GameTheory_Full_Pack.html	GameTheory_Full_Pack#13	The Painting and the Proof	empirical	-	measured	-	dian trader g₃₃ = 33 cycles g₃₃ ≈ 1/3 attractor Nirvana compounding fixed point — no derivation, dataset, or citation found in this file (WP-28) Unsourced WTI historical vol Permia
